TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
FH5VmaD2lA3MQZqZ4uOV,2/25/25,15:20:26,BASEB1,NA,Countermovement Jump,,,794.614,0.5669,270.1516,-0.3547,10406.8966,-6520.4764,2313,291.0847,1709.7586,215.1684,2313,291.0847,1887.0405,237.4789,2335,293.8534,0.249,38.8456,0.145,22.6209,0.247,38.5335,0.691,0.641,131.9295,270.9638,714.382,402.8933,2.0539,-0.9966,-1.6294,2.0079,3.3352,3.4276,-1533.4427,-18.9313,-2226.3474,-27.4856,3424.6741,42.2797,73.3536,5941.6735,-5.3178,1095,1218,-12.858,744.9586,964.8,-4.8394,1111,1224,-1.4514,929.8259,957.2146,7.886,5613.7931,4793.1034,-22.8853,-2.8892,N/A,0.6,2.9268,0.205,-9268.5013,5797,963.961,729.5366,6.3654,3083,2714,30.0914,627.015,336.946,N/A,1.078,0.8845,247.1485,3.0512,1.6288,467.2335,5.7683,3.3452
6aNGi9MkX9zIjCPL9KYJ,2/25/25,15:20:20,BASEB1,NA,Countermovement Jump,,,801.808,0.5205,261.2024,-0.3715,11146.8531,-6441.8584,2393,298.4505,1781.7832,222.2207,2393,298.4505,1899.6134,236.9162,2412,300.8201,0.295,43.6391,0.143,21.1538,0.238,35.2071,0.692,0.676,139.3285,262.4597,707.277,401.7882,1.8837,-1.0551,-1.7107,1.9778,3.1958,3.3132,-1682.2657,-20.5823,-2365.3065,-28.9392,3344.7778,40.9229,70.9342,5797.7182,-11.1575,1063,1330,-8.4126,815.9441,965.8392,-10.3648,1081,1331,-8.686,867.3067,1032.3067,-11.2923,4944.0559,6202.7972,-15.5069,-15.983,N/A,0.6539,3.1589,0.207,0,5714,844.7787,712.6394,-1.0501,2827,2887,-33.674,280.1541,564.6246,N/A,1.0237,0.77,253.987,3.1075,1.7047,453.29,5.5459,3.2112
7Q7abA4HFRCbJakE2u6n,2/21/25,15:19:32,BASEB1,NA,Countermovement Jump,,,815.49,0.5154,264.3363,-0.3677,9767.2956,-6439.356,2368,290.3776,1655.3774,202.9917,2368,290.3776,1908.9421,234.0853,2371,290.7454,0.321,44.4598,0.159,22.0222,0.242,33.518,0.683,0.722,132.7556,265.7814,725.5485,398.537,2.002,-1.027,-1.605,1.9285,3.1799,3.2858,-1510.9005,-18.1755,-2063.3058,-24.8207,3314.6207,39.8735,70.4504,5856.4282,-10.3885,1061,1307,-15.744,697.3774,958,-9.9114,1068,1303,-6.4646,892.7686,1016.1736,-1.0947,4830.1887,4937.1069,-27.2699,-12.1691,N/A,0.625,2.9623,0.211,-5771.463,4010,1031.7059,491.7289,7.3317,2152,1858,-10.9184,459.5302,572.1757,N/A,0.946,0.7138,262.4185,3.1568,1.597,463.13,5.5713,3.1972
fLWxqNehKZBITkMNN5Bc,2/21/25,15:19:27,BASEB1,NA,Countermovement Jump,,,813.566,0.5193,264.7074,-0.3221,9258.0645,-6963.9139,2243,275.6998,1603.9161,197.1464,2243,275.6998,2002.0269,246.0805,2324,285.656,0.257,40.4724,0.155,24.4094,0.223,35.1181,0.682,0.635,121.7778,266.1268,695.4325,387.9046,2.1853,-0.9187,-1.4763,1.9052,3.1918,3.2874,-1330.3805,-16.0418,-1902.8488,-22.9446,3450.1024,41.6014,74.4422,6173.6627,-12.8845,977,1266,-12.1771,704.3032,899.6129,-9.6386,1050,1274,-4.8498,952.4664,1049.5605,-22.6481,3580.6452,5677.4194,-21.6649,-9.2845,N/A,0.6129,3.08,0.199,-6194.1147,4908,1105.2214,603.27,7.0905,2628,2280,-0.1499,551.7826,553.4389,N/A,1.074,0.8177,247.8805,2.9889,1.4684,447.552,5.3966,3.209
M93jPXs89fyg7ZguyHLC,2/18/25,15:20:05,BASEB1,NA,Countermovement Jump,,,809.453,0.4746,251.7936,-0.3769,7286.4865,-5733.8576,2161,266.9704,1507.0162,186.1771,2165,267.4646,1841.6066,227.5125,2158,266.5998,0.261,37.8261,0.185,26.8116,0.244,35.3623,0.666,0.69,128.3697,252.912,728.537,381.2817,1.9702,-1.0293,-1.5597,1.8201,3.0516,3.1568,-1375.6965,-16.6725,-1774.5459,-21.5062,3052.7857,36.9976,67.5178,5571.1021,-11.4088,959,1206,-8.363,690.4919,816.5243,-12.4189,945,1213,-5.6593,868.6926,972.9139,-9.7923,3286.4865,4000,-15.4311,-10.743,N/A,0.6133,2.6436,0.232,-4438.0603,4828,984.9025,596.4522,-2.7755,2347,2481,-30.2536,343.467,641.4355,N/A,0.9652,0.6879,278.1185,3.3706,1.5558,450.4185,5.4588,3.0651
ydfKLKcZ1nF4y6PHmpeP,2/18/25,15:19:58,BASEB1,NA,Countermovement Jump,,,808.914,0.4824,253.6822,-0.3435,8250,-6207.2792,2132,263.5632,1595.3937,197.2266,2132,263.5632,1884.2585,232.9368,2207,272.8349,0.291,42.3581,0.16,23.2897,0.236,34.3523,0.667,0.687,125.1688,254.8333,700.332,380.0021,2.0359,-0.9316,-1.5224,1.8601,3.0765,3.1808,-1350.7824,-16.3814,-1969.881,-23.8895,3163.3504,38.3631,67.889,5597.9982,-11.257,946,1186,-12.0578,701.5125,893.8813,-9.0168,1004,1203,-4.9988,895.0339,989.2246,-8.4848,3775,4475,-21.5353,-9.5495,740,0.6071,2.9613,0.205,-5489.7293,4907,1194.7554,606.6158,0.6725,2470,2437,-6.2549,560.0122,634.7432,11.7711,0.9709,0.7022,254.595,3.0876,1.518,445.737,5.4056,3.0905
U7FYXetmYads0V2plsZM,2/14/25,15:20:25,BASEB1,NA,Countermovement Jump,,,811.987,0.4958,258.1616,-0.3604,9579.6178,-6414.5719,2312,284.7336,1610.172,198.3002,2312,284.7336,1889.2292,232.6674,2314,284.9799,0.329,45.3168,0.157,21.6253,0.24,33.0579,0.679,0.726,124.5585,259.6771,706.5945,384.2357,2.0848,-0.9907,-1.5137,1.8704,3.119,3.2244,-1408.4255,-17.0159,-1916.2099,-23.1506,3201.4472,38.6782,69.6576,5765.6543,-12.0242,1017,1295,-14.3938,689.2038,920.9682,-12.0138,1018,1296,-9.6166,853.775,1035.4542,-15.8245,4031.8471,5547.7707,-25.1576,-17.5504,910,0.6354,2.7627,0.23,-4750.6218,5850,1132.4396,720.4549,5.1624,3076,2774,-26.9658,413.5341,718.9055,42.4723,0.9353,0.6829,252.0405,3.045,1.5049,454.554,5.4917,3.1373
ciwwWLFczOtbUco233JG,2/14/25,15:20:18,BASEB1,NA,Countermovement Jump,,,810.777,0.4861,255.248,-0.337,7786.9822,-6349.6171,2140,263.9443,1529.1065,188.5977,2133,263.081,1947.8267,240.242,2248,277.2649,0.247,38.5335,0.169,26.3651,0.225,35.1014,0.674,0.641,120.7292,256.8902,697.0655,377.6194,2.1278,-0.9216,-1.4711,1.8403,3.0884,3.1899,-1276.4159,-15.444,-1743.0979,-21.0906,3249.4132,39.3163,70.8735,5857.5526,-9.9859,960,1173,-12.2603,670.8166,858.2899,-2.4021,1097,1151,-3.3868,940.9289,1006.8978,-10.1824,3497.0414,4289.9408,-21.8516,-6.5799,N/A,0.6287,3.0081,0.209,-5143.4201,4535,1063.9833,559.34,14.3109,2592,1943,-3.2314,514.8009,549.1824,N/A,1.0515,0.7584,257.7505,3.1187,1.4608,439.315,5.3155,3.1082
mASI2BpEBdgUgT8xIuuJ,2/11/25,15:20:37,BASEB1,NA,Countermovement Jump,,,810.709,0.4957,257.7193,-0.361,7505.9524,-5744.643,2074,255.8255,1548.3155,190.9829,2080,256.5655,1861.9429,229.6685,2102,259.2792,0.275,39.9709,0.168,24.4186,0.245,35.6105,0.662,0.688,123.2804,258.5758,716.679,381.8562,2.0975,-0.9558,-1.4926,1.8328,3.1185,3.22,-1322.8355,-16.007,-1738.4501,-21.0361,3131.221,37.8894,70.0575,5789.6254,-14.3269,891,1189,-10.1773,695.369,852.9464,-10.2759,943,1159,-7.9276,857.1673,1004.7755,-24.663,2827.381,4678.5714,-18.4169,-14.7178,980,0.5768,2.3542,0.245,-4847.6686,4631,1097.25,571.2284,-2.6128,2255,2376,-15.9636,461.0449,636.2051,27.5348,0.9622,0.7205,259.4795,3.1398,1.4918,457.1995,5.5324,3.1289
kPbY7Zy5R3ot3JNdjluu,2/11/25,15:20:32,BASEB1,NA,Countermovement Jump,,,810.369,0.4855,254.9515,-0.3293,6874.2857,-6094.4682,2007,247.665,1461.5714,180.3588,2014,248.5288,1883.9874,232.4851,2252,277.8981,0.258,38.4501,0.175,26.0805,0.238,35.4694,0.669,0.671,113.3544,256.5092,704.546,369.8636,2.2629,-0.8839,-1.3816,1.7555,3.0863,3.1834,-1166.7878,-14.1247,-1611.8963,-19.513,3080.8898,37.296,71.8373,5934.2236,-6.5541,941,1073,-11.1195,649.5257,812.0457,-1.7762,1106,1146,-1.7848,925.1807,958.8067,0.2494,3445.7143,3428.5714,-20.0564,-3.5377,860,0.6117,2.7308,0.224,-4632.8736,4054,1142.4198,500.2659,8.2881,2195,1859,2.7735,587.0523,555.3674,5.4026,0.997,0.7235,255.169,3.089,1.3722,449.377,5.44,3.1052
