Date,Code,Type,System Weight,Jump Height,Avg. Relative Propulsive Force,Peak Relative Propulsive Force,Time To Takeoff,Braking Net Impulse,Relative Peak Landing Force,L|R Peak Landing Force,L|R Avg. Landing Force,mRSI,L|R Avg. Braking Force
4/26/24,BASEB1,Countermovement Jump,741.371,0.5048,243.3486,284.8776,0.679,108.42,815.1115,4.6169,4.7086,0.7435,-9.6209
4/23/24,BASEB1,Countermovement Jump,737.324,0.5114,240.0391,297.02,0.732,117.0568,928.8996,2.5259,-6.9148,0.6986,-7.7152
4/23/24,BASEB1,Countermovement Jump,736.96,0.5321,253.0553,304.7655,0.702,114.4444,722.0202,15.2791,-2.8403,0.758,-14.0239
4/19/24,BASEB1,Countermovement Jump,738.274,0.4648,237.4899,279.0292,0.677,108.7213,691.2068,5.4282,-0.0055,0.6865,-9.4419
4/19/24,BASEB1,Countermovement Jump,738.847,0.4862,246.4701,287.881,0.681,103.4394,702.5812,6.8002,-6.6849,0.7139,-10.9876
4/16/24,BASEB1,Countermovement Jump,730.371,0.5159,255.5076,298.6154,0.627,107.1332,642.4132,-5.7545,3.7526,0.8228,-9.7003
4/11/24,BASEB1,Countermovement Jump,747.418,0.4882,234.2015,279.3617,0.672,113.0792,693.8554,-7.9445,-4.0216,0.7265,-5.4137
4/11/24,BASEB1,Countermovement Jump,749.774,0.4855,242.7374,290.0874,0.647,109.2267,620.587,1.354,-5.2944,0.7504,-12.6981
4/8/24,BASEB1,Countermovement Jump,743.64,0.4991,241.8177,279.8397,0.701,113.618,504.0073,-6.19,-0.8025,0.7119,-13.3015
4/4/24,BASEB1,Countermovement Jump,759.091,0.4621,232.2554,271.7724,0.69,109.3323,617.7125,-11.9642,-8.4017,0.6697,-12.0572
4/4/24,BASEB1,Countermovement Jump,759.976,0.4425,234.713,290.2723,0.742,99.3402,760.5503,-2.9758,12.5063,0.5963,-16.6255
4/4/24,BASEB1,Countermovement Jump,760.697,0.4628,235.4813,290.6545,0.674,101.0778,602.7367,-8.5714,-13.3421,0.6867,-10.6346
3/28/24,BASEB1,Countermovement Jump,743.065,0.4476,234.1796,281.9403,0.775,102.1055,573.974,-10.762,-15.7913,0.5776,-17.5552
