TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
Rk8o4Wz9Ctu7MJHPfNM5,2/13/25,6:59:25,WF1, ,Countermovement Jump,,,702.508,0.2265,150.9743,-0.1981,3941.5205,-6947.6263,1376,195.8697,1053.5556,149.9706,1376,195.8697,1382.9459,196.8584,1696,241.4207,0.347,46.8919,0.171,23.1081,0.222,30,0.421,0.74,59.6901,151.7272,487.503,211.4174,2.5419,-0.5468,-0.8347,1.3058,2.1082,2.2394,-529.9825,-7.4008,-705.0375,-9.8453,1637.4353,22.8656,42.1165,3016.0244,-9.593,622,754,-14.1409,452.2865,601.269,-3.6557,817,879,-4.1268,662.9369,720.009,4.1543,2052.6316,1888.8889,-24.83,-7.9526,N/A,0.2071,1.1193,0.185,-14238.6861,3106,838.7869,442.1302,-9.4012,1407,1699,-20.7709,332.2817,506.5052,N/A,0.5689,0.3061,179.819,2.511,0.8335,307.684,4.2966,2.1188
gWe5MpHlUIEO5Ll7ai1q,2/13/25,6:59:20,WF1, ,Countermovement Jump,,,702.257,0.2219,149.3587,-0.1968,5013.245,-7422.2054,1461,208.0435,1121.5166,159.7017,1461,208.0435,1400.6262,199.4464,1732,246.6334,0.269,42.429,0.151,23.817,0.214,33.7539,0.422,0.634,62.9262,150.163,469.413,213.0892,2.3863,-0.5734,-0.8809,1.3111,2.0864,2.2163,-586.6048,-8.1944,-776.8873,-10.8525,1652.1825,23.0797,41.6897,2984.3949,-15.8111,615,846,-18.1513,458.9735,662.543,-5.3118,820,912,-6.2842,656.3037,744.3224,-7.7939,2311.2583,2701.9868,-30.758,-11.8685,550,0.2136,1.3692,0.156,-14939.1384,3126,966.5236,445.1362,-0.3839,1557,1569,-3.201,467.7927,498.7309,6.2014,0.6656,0.35,168.967,2.3603,0.879,300.446,4.197,2.0977
HHyDrYFjsBfIIVx1PaZK,2/11/25,7:04:18,WF1, ,Countermovement Jump,,,702.457,0.2317,152.679,-0.1914,7283.5821,-8784.2933,1681,239.3029,1188.2164,169.1515,1681,239.3029,1467.01,208.8398,1825,259.8024,0.28,45.6026,0.134,21.8241,0.2,32.5733,0.432,0.614,64.6008,153.7296,452.951,218.3304,2.3797,-0.6078,-0.9075,1.3943,2.1322,2.27,-646.9547,-9.0349,-841.0845,-11.746,1796.9465,25.0948,43.9324,3145.8342,-8.3879,770,911,-14.3053,509.1194,679.097,-5.9726,858,967,-6.9597,682.455,784.555,5.3279,3835.8209,3447.7612,-25.1217,-13.009,540,0.2231,1.3519,0.165,-15037.6637,3813,980,542.809,-10.7789,1701,2112,-23.9796,372.5,607.5,38.694,0.7036,0.3774,158.73,2.2167,0.9022,294.221,4.1089,2.1469
D13rZY1Vrl4mK0ww0c60,2/11/25,7:04:09,WF1, ,Countermovement Jump,,,702.923,0.2291,151.9172,-0.1936,5865.2482,-7919.3378,1533,218.0893,1175.2411,167.1934,1533,218.0893,1407.3102,200.2083,1721,244.8348,0.241,40.301,0.141,23.5786,0.216,36.1204,0.428,0.598,66.1789,152.9011,470.0235,219.08,2.3104,-0.6054,-0.9278,1.3426,2.1202,2.2547,-644.2755,-8.9915,-841.6344,-11.7459,1692.6853,23.6231,42.4456,3041.3862,-15.199,650,883,-18.7129,477.6596,697.5816,-5.0552,817,904,-4.373,672.8843,734.4259,-3.9903,2815.6028,3049.6454,-31.5789,-8.4377,490,0.2166,1.3711,0.158,-18467.9195,3211,1002.7367,456.8068,0.4671,1613,1598,3.3637,518.2327,484.5041,6.4946,0.7157,0.3831,165.291,2.3068,0.9236,304.7325,4.2528,2.1339
xyxfzA5rUMLFqvzgTQ97,2/6/25,7:07:48,WF1, ,Countermovement Jump,,,698.699,0.2296,151.1587,-0.1931,6525.1799,-8334.2772,1609,230.2851,1173.7338,167.9885,1609,230.2851,1414.8483,202.4975,1725,246.8874,0.236,40.273,0.139,23.7201,0.211,36.0068,0.422,0.586,65.5728,151.895,462.0125,217.4679,2.3164,-0.6125,-0.9216,1.3646,2.1223,2.256,-645.5711,-9.0641,-832.8101,-11.693,1717.0522,24.1081,42.6324,3036.4112,-10.752,718,891,-12.8367,511.5324,662.2014,-6.5507,806,919,-6.2328,663.3318,751.5166,-10.0331,2935.2518,3589.9281,-22.765,-11.7576,N/A,0.2055,1.3981,0.147,-27391.6962,3531,834.9186,505.3678,-1.6143,1737,1794,-6.3399,390.9926,443.926,N/A,0.7201,0.3918,162.692,2.2843,0.9207,299.3205,4.2026,2.1327
cNWUty8pNPUs47wyHOeN,2/6/25,7:07:41,WF1, ,Countermovement Jump,,,700.644,0.2015,142.0139,-0.1681,8140.4959,-10034.9551,1687,240.7785,1218.3719,173.8931,1687,240.7785,1447.6684,206.6197,1876,267.7537,0.243,43.8628,0.121,21.8412,0.19,34.296,0.401,0.554,62.1491,142.7636,422.813,204.9127,2.2971,-0.5794,-0.8712,1.3436,1.9884,2.1351,-629.9472,-8.8201,-815.7545,-11.4217,1688.0671,23.6353,40.9459,2924.4112,-11.2033,749,938,-14.046,523.6198,694.7521,-7.1429,871,1005,-6.6681,675.5684,772.1,-3.3503,3933.8843,4206.6116,-24.6872,-12.5227,580,0.1906,1.2064,0.158,-18195.618,2552,941.7897,364.2363,-11.2853,1132,1420,-0.6829,467.6793,474.1103,1.3673,0.7238,0.3637,146.927,2.0572,0.8702,275.886,3.8628,1.9989
raVNrPuFRHnDJ57r8vhS,2/20/25,7:07:55,WF3, ,Countermovement Jump,,,645.189,0.1957,128.8847,-0.2241,4715.1899,-6216.1173,1393,215.9057,1083.8354,167.9873,1389,215.2858,1158.2302,179.518,1440,223.1904,0.244,37.3089,0.158,24.159,0.252,38.5321,0.402,0.654,68.9291,129.9679,463.4245,198.897,1.8855,-0.6715,-1.0551,1.314,1.9597,2.141,-664.9478,-10.1104,-911.2067,-13.8548,1351.3734,20.5474,36.0342,2369.9168,1.5119,705,684,-2.8497,526.4747,557.3608,1.8056,733,707,-1.1334,572.5516,585.6786,12.4832,2651.8987,2063.2911,-5.6054,-2.2205,730,0.1977,0.8378,0.236,-7324.2642,2413,825.1082,373.9989,-5.7605,1137,1276,-1.935,404.5712,420.537,3.8115,0.6147,0.2993,170.869,2.598,1.0481,292.5555,4.4483,1.9761
pANmGO3HpeCWl2DnqiGN,2/20/25,7:07:48,WF3, ,Countermovement Jump,,,646.158,0.2074,132.8823,-0.2387,5114.6497,-6086.5493,1453,224.8676,1112.8981,172.2331,1452,224.7128,1184.7137,183.3474,1470,227.4985,0.281,40.9621,0.157,22.8863,0.248,36.1516,0.41,0.686,72.8727,134.2733,468.84,207.146,1.8426,-0.7186,-1.1181,1.3142,2.0174,2.1618,-726.5469,-11.0305,-989.6223,-15.0245,1392.1672,21.1359,36.544,2407.0556,-1.7906,713,739,-7.608,514.1146,598.7834,-1.0884,727,743,-1.9329,580.9073,603.8065,10.8344,2834.3949,2280.2548,-14.2138,-3.772,N/A,0.2015,1.0125,0.199,-9368.1872,3289,736.9495,509.0086,0.6993,1656,1633,-14.8619,313.7125,423.237,N/A,0.5977,0.3024,174.3195,2.6465,1.1064,294.5205,4.4714,2.0385
Gbh8jFWa8LVsfmltoapF,2/13/25,6:59:07,WF3, ,Countermovement Jump,,,640.839,0.1958,128.027,-0.1896,6234.8485,-7747.1873,1469,229.2307,1122.4242,175.1492,1466,228.7626,1222.5385,190.7715,1505,234.8484,0.283,44.4969,0.132,20.7547,0.221,34.7484,0.41,0.636,63.1538,129.2716,418.6415,192.4253,2.0469,-0.6313,-0.9764,1.293,1.9598,2.0952,-640.4987,-9.8048,-861.7261,-13.1914,1399.0353,21.4165,36.226,2366.4641,-1.2278,724,742,-3.2627,542.9015,579.5227,-2.8571,731,774,-4.92,581.1946,641.3439,6.1968,3310.6061,2924.2424,-6.3675,-9.3409,N/A,0.2146,1.1789,0.182,-9802.9906,3062,768.9962,477.8111,-5.4866,1447,1615,1.9516,392.0019,376.9943,N/A,0.6447,0.3078,147.7445,2.2617,0.9668,270.897,4.1469,1.9789
UZEqn3pkBXEKRQF5T5cq,2/13/25,6:59:01,WF3, ,Countermovement Jump,,,642.2,0.1946,127.9059,-0.2104,5606.8966,-6919.7771,1456,226.7206,1102.2138,171.6309,1455,226.5649,1196.4138,186.2993,1464,227.9664,0.246,39.4864,0.145,23.2745,0.232,37.2392,0.412,0.623,66.2905,129.2906,437.6905,195.5811,1.9504,-0.6634,-1.0244,1.3003,1.9538,2.1195,-662.9365,-10.1268,-887.3634,-13.555,1376.2363,21.0229,36.8193,2410.3304,1.1684,736,719,-3.4795,531.931,570.2828,2.7322,752,712,0.2983,599.9914,596.4224,7.9951,3027.5862,2579.3103,-6.7799,0.6097,N/A,0.2203,1.1782,0.187,-8806.8477,2763,770.3349,430.2398,-6.0442,1298,1465,11.9606,431.2357,339.0992,N/A,0.6613,0.3123,159.4095,2.4351,1.0126,278.281,4.2509,1.975
