TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
75dIMZGMRjbF4uDNHaXS,2/18/25,19:56:35,G1, ,Countermovement Jump,,,797.51,0.3076,199.725,-0.2697,7350.6494,-7164.413,1932,242.254,1422.7727,178.4019,1932,242.254,1582.1373,198.3846,1938,243.0064,0.305,42.7171,0.154,21.5686,0.255,35.7143,0.505,0.714,95.722,201.0305,622.934,296.7524,2.1001,-0.7902,-1.184,1.5726,2.4568,2.593,-1000.2511,-12.3039,-1304.2324,-16.0431,2220.0351,27.3082,47.1171,3830.4098,-1.2422,954,978,0.0132,711.4805,711.2922,-1.3416,956,982,0.1009,791.8667,790.2706,-1.2367,3629.8701,3720.7792,0.0316,0.1821,N/A,0.3135,1.081,0.29,-6196.6927,3999,951.1405,501.4357,-10.5776,1788,2211,-11.8725,419.108,532.0325,N/A,0.7073,0.4309,218.5385,2.6882,1.1775,404.3955,4.9744,2.4728
UEuWgThImlvvuT5VbTmR,2/18/25,19:56:27,G1, ,Countermovement Jump,,,798.904,0.2942,195.6514,-0.2625,4234.2857,-5867.0463,1540,192.7641,1103.44,138.1192,1540,192.7641,1532.5318,191.8293,1864,233.3196,0.566,56.1508,0.175,17.3611,0.267,26.4881,0.494,1.008,52.9223,196.6296,602.6675,249.5519,3.7154,-0.4663,-0.6524,1.4194,2.4025,2.5263,-471.5616,-5.7905,-581.6749,-7.1426,2017.7539,24.7767,47.5033,3868.5591,0.6494,775,765,0.116,552.36,551.08,-4.721,888,976,-2.8535,744.4007,788.1311,6.3428,2251.4286,1982.8571,0.2068,-5.536,N/A,0.3004,0.9947,0.302,-5602.8008,3998,961.0641,500.4356,-6.003,1879,2119,-1.4311,473.655,487.4091,N/A,0.4901,0.2918,192.7305,2.3666,0.6498,409.937,5.0337,2.4145
AWXC91dfTAti0G742ytg,2/18/25,19:58:35,G5, ,Countermovement Jump,,,663.55,0.3621,180.2773,-0.3141,9123.1884,-6135.1383,1927,290.4077,1304.9058,196.6552,1925,290.1062,1457.7368,219.6876,1934,291.4626,0.248,40.3909,0.138,22.4756,0.228,37.1336,0.55,0.614,87.8731,182.0236,512.756,269.8967,2.0714,-0.9034,-1.3155,1.7111,2.6652,2.7686,-1023.5352,-15.1321,-1336.3146,-19.7562,2192.8593,32.4195,50.8717,3440.9716,1.9221,981,944,6.59,695.4493,609.4565,1.5512,982,952,-2.5135,710.5482,747.1886,-2.3034,4456.5217,4666.6667,12.4198,-4.8719,N/A,0.3757,2.291,0.164,-8535.6619,2707,909.7075,407.9572,-10.1588,1216,1491,-18.9675,368.5795,541.128,N/A,0.8958,0.5897,179.443,2.6529,1.2991,333.313,4.9277,2.6911
3m7gvPTuCBMCH5lBdMIX,2/18/25,19:58:29,G5, ,Countermovement Jump,,,658.898,0.38,183.4024,-0.2966,10484.127,-6661.9514,1976,299.8947,1430.2381,217.0652,1976,299.8947,1507.1019,228.7307,1985,301.2606,0.272,44.2997,0.126,20.5212,0.216,35.1792,0.55,0.614,96.5224,184.1805,506.046,280.7029,1.9082,-0.9426,-1.4394,1.7442,2.7306,2.8207,-1173.3049,-17.4687,-1593.8313,-23.7298,2312.5641,34.4306,53.4502,3590.0303,0.8097,996,980,4.861,749.881,680.3571,0.2519,995,990,-3.2771,728.8565,778.2454,-0.9841,5190.4762,5293.6508,9.3097,-6.3162,720,0.3572,2.2753,0.157,-13204.5032,3180,907.575,482.624,-3.1447,1540,1640,-2.3405,443.1667,464.4083,4.5725,0.8958,0.6189,179.5435,2.6731,1.4371,326.5025,4.8611,2.7422
144irXdRJZbLtmIlEBIl,2/18/25,19:51:42,G6, ,Countermovement Jump,,,604.386,0.2898,146.9106,-0.3992,4027.6243,-3341.9229,1334,220.7199,1105.8729,182.9746,1360,225.0218,1019.707,168.7178,1334,220.7199,0.298,35.7314,0.181,21.7026,0.355,42.5659,0.499,0.834,90.4006,148.0895,562.441,238.4901,1.6381,-0.9276,-1.4771,1.4114,2.3846,2.5126,-931.9852,-15.1274,-1299.0921,-21.086,1348.3983,21.8863,42.9202,2644.2777,-11.1765,604,756,-13.7393,476.9669,628.9061,-10.045,600,734,-9.2664,462.6085,557.0986,0.6859,2027.6243,2000,-24.1996,-16.9566,N/A,0.3175,0.9534,0.333,-2899.6557,1439,687.7768,238.0929,-6.4628,673,766,-37.0617,216.4375,471.3393,N/A,0.5983,0.3475,199.7945,3.2429,1.4673,362.6465,5.8862,2.4037
7DKm0ii5pOFZedfkaknM,2/18/25,19:51:34,G6, ,Countermovement Jump,,,602.185,0.2999,148.913,-0.3614,4051.4286,-3622.5249,1309,217.3751,1091.44,181.2466,1325,220.032,1057.3884,175.5919,1309,217.3751,0.291,36.6961,0.175,22.0681,0.327,41.2358,0.505,0.793,85.2621,149.489,537.048,234.7511,1.7533,-0.8667,-1.3891,1.4327,2.4259,2.5647,-860.3403,-14.0155,-1238.649,-20.1784,1417.2615,23.0881,45.0249,2763.8423,-8.6792,605,720,-7.5067,504.7543,586.6857,-8.4798,599,710,-7.5635,488.7064,568.682,-16.22,1697.1429,2354.2857,-13.9373,-14.0585,N/A,0.3219,1.1416,0.282,-1.4705,1485,568.4021,246.602,-26.5993,545,940,-57.9642,119.4661,448.936,N/A,0.6368,0.3782,190.6445,3.1057,1.389,346.4035,5.6431,2.4353
SfFiNOyG4NFQtDNDZLOb,2/18/25,19:50:18,G7, ,Countermovement Jump,,,922.419,0.279,220.0007,-0.2992,7106.9182,-6872.5588,2056,222.8922,1675.7421,181.6682,2062,223.5427,1659.1037,179.8644,2054,222.6754,0.296,39.2573,0.159,21.0875,0.299,39.6552,0.476,0.754,119.2064,221.2807,762.955,340.4871,1.8563,-0.8037,-1.2719,1.4724,2.3397,2.4996,-1219.7313,-12.9719,-1697.5739,-18.0538,2222.4308,23.6357,42.261,3973.7366,-4.9467,980,1082,-1.9655,821.4025,854.3396,-4.4791,981,1073,-4.2361,794.4114,864.6923,-15.0442,3018.8679,4088.0503,-3.8004,-8.1235,N/A,0.2737,1.3966,0.196,-16152.3291,3721,1045.7931,403.3959,-42.7036,1066,2655,-14.4693,447.2373,598.5558,N/A,0.6313,0.37,265.871,2.8276,1.2678,497.084,5.2865,2.3533
CqxXVNxQqIOqksxfediB,2/18/25,19:50:10,G7, ,Countermovement Jump,,,922.033,0.278,219.4988,-0.3064,7705.8824,-6860.6036,2102,227.9745,1747.5425,189.5314,2114,229.276,1714.657,185.9648,2103,228.0829,0.29,40.2778,0.153,21.25,0.277,38.4722,0.488,0.72,125.707,220.5934,742.7745,346.3003,1.7548,-0.8341,-1.3396,1.4546,2.3354,2.4734,-1320.2866,-14.0472,-1870.4468,-19.9007,2270.2624,24.1545,42.843,4026.7772,-8.2308,970,1144,-4.6429,833.2026,914.3399,-7.3704,974,1129,-4.1827,821.4693,893.1877,-24.8516,2895.4248,4810.4575,-8.7914,-8.0423,N/A,0.3036,1.5896,0.191,-12311.0202,3419,1063.7179,370.811,9.7982,1877,1542,3.2926,549.371,514.3469,N/A,0.6778,0.3861,266.778,2.8384,1.3375,475.9965,5.0644,2.347
r4JZxZ4n7GkaS477oq6U,2/18/25,19:42:21,G8, ,Countermovement Jump,,,521.788,0.2134,108.841,-0.2225,3606.0606,-5042.9409,1122,215.0299,762.4121,146.1153,1118,214.2633,980.7143,187.9526,1155,221.3543,0.293,42.0977,0.165,23.7069,0.238,34.1954,0.45,0.696,39.403,109.768,359.4515,149.1709,2.7858,-0.5554,-0.7489,1.2457,2.0463,2.1528,-380.1902,-7.1479,-503.612,-9.4683,1120.033,21.0574,38.2813,2036.1598,-5.5456,528,590,-1.2671,376.3758,386.0364,-4.9351,549,606,-1.2133,484.4076,496.3067,-4.5378,1721.2121,1884.8485,-2.4898,-2.4091,700,0.2817,1.5649,0.18,-6038.7663,4801,696.5043,920.1055,-1.3955,2367,2434,-25.8046,258.3871,438.1171,41.0465,0.6466,0.3066,125.498,2.3595,0.7408,233.9535,4.3985,2.0637
2SFXCv4HylBckQOubahg,2/18/25,19:42:15,G8, ,Countermovement Jump,,,521.486,0.2159,109.4106,-0.2154,2606.9869,-5185.9212,1117,214.1956,669.131,128.3124,1117,214.1956,995.961,190.9852,1163,223.0165,0.262,36.2881,0.229,31.7175,0.231,31.9945,0.449,0.722,33.5117,110.1457,383.541,143.6574,3.2868,-0.4913,-0.635,1.2797,2.0582,2.1768,-302.9989,-5.6999,-363.4814,-6.8377,1156.9821,21.7647,38.7139,2057.9794,-0.8057,554,563,-0.3961,333.2402,335.8908,-0.4299,579,584,1.0358,503.1385,492.8225,10.5528,1441.048,1165.9389,-0.8322,2.0439,590,0.2765,2.5841,0.107,-16576.1486,4467,729.8424,856.5906,1.4103,2265,2202,-13.3772,316.1051,413.7373,23.6132,0.6219,0.299,152.932,2.8769,0.6304,230.609,4.3381,2.072
