TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
dXVehrin989ZQ6DINtdf,2/3/25,18:01:20,MBB18, ,Countermovement Jump,,,849.905,0.4008,242.9376,-0.2684,12713.1783,-9268.5539,2488,292.7386,1832.7442,215.6411,2488,292.7386,1969.8802,231.7765,2490,292.9739,0.246,41.5541,0.129,21.7905,0.217,36.6554,0.575,0.592,125.9518,244.2606,664.2795,370.2124,1.9393,-0.9447,-1.4597,1.7637,2.8041,2.9019,-1518.4281,-17.5264,-2118.2553,-24.4499,3074.0265,35.4818,57.3761,4970.8668,6.5916,1326,1162,7.182,982.186,850.5581,6.506,1326,1164,0.8445,993.2581,976.6221,6.0976,6744.186,5968.9922,13.4041,1.7238,N/A,0.408,1.9523,0.209,-9601.699,3390,1212.372,398.8681,-46.3717,909,2481,6.0683,642.9714,569.4006,N/A,0.9713,0.677,235.5895,2.7193,1.4538,428.69,4.9481,2.8194
OulOxOeJAKRFYARisx1G,2/3/25,18:01:14,MBB18, ,Countermovement Jump,,,849.496,0.4238,249.689,-0.269,12688,-9077.2919,2442,287.4646,1794.328,211.2227,2442,287.4646,1994.0367,234.7317,2488,292.8795,0.262,43.3058,0.125,20.6612,0.218,36.0331,0.589,0.605,117.3035,250.7059,659.3865,368.0094,2.1372,-0.869,-1.3569,1.7898,2.8834,2.963,-1376.0139,-15.8902,-1898.4852,-21.9238,3177.2127,36.6905,58.0159,5023.8817,13.5954,1387,1055,15.1709,1033.272,761.056,11.4952,1387,1101,5.1203,1048.0688,945.9679,12.3581,7128,5560,26.3605,9.7874,N/A,0.4253,N/A,N/A,-10249.7981,4866,2117.8416,572.8102,-11.4262,2155,2711,-14.948,900.6337,1217.2079,N/A,0.9736,0.7004,223.4905,2.5809,1.3546,435.896,5.0337,2.8952
7BfAYk4buRgF0i83F9iN,1/30/25,12:27:04,MBB18, ,Countermovement Jump,,,869.997,0.4164,253.4767,-0.2434,13730.1587,-10688.5918,2602,299.0815,1836.3492,211.0753,2597,298.5068,2137.1891,245.6548,2661,305.8631,0.215,39.6679,0.126,23.2472,0.201,37.0849,0.582,0.542,120.8779,255.9736,661.3405,376.8515,2.1176,-0.9008,-1.3821,1.7741,2.8582,2.9333,-1455.8519,-16.416,-1888.7697,-21.2976,3351.6417,37.7928,60.429,5359.1267,7.8937,1401,1196,10.3198,1012.9286,823.4206,5.8249,1408,1253,3.9013,1110.2836,1026.9055,14.4509,7857.1429,5873.0159,18.6722,7.5374,N/A,0.4107,2.0535,0.2,-10634.1428,5185,1069.1621,595.9791,2.9122,2668,2517,25.4155,670.4477,398.7144,N/A,1.0738,0.7682,230.4975,2.5991,1.363,430.843,4.8581,2.8863
KYKT6rvHbjztFYofADwE,1/30/25,12:26:57,MBB18, ,Countermovement Jump,,,872.235,0.4146,253.5891,-0.2812,9664.5161,-8439.8274,2373,272.0597,1632.8258,187.2002,2373,272.0597,2040.4147,233.9295,2435,279.1679,0.239,39.1162,0.155,25.3682,0.217,35.5155,0.584,0.611,117.1366,254.6635,696.2715,371.8001,2.1741,-0.8618,-1.3199,1.7457,2.8521,2.9356,-1251.418,-14.0747,-1688.7367,-18.9932,3194.8526,35.9324,58.6957,5218.804,9.7345,1302,1071,4.9113,856.5097,776.3161,7.5154,1309,1126,5.5062,1076.3825,964.0323,22.4299,5916.129,3748.3871,9.2685,10.4447,N/A,0.4182,2.1897,0.191,-9284.4644,4138,1155.2766,474.4134,-21.1696,1631,2507,6.5255,615.3322,539.9444,N/A,0.9558,0.6786,252.333,2.838,1.3174,443.9385,4.993,2.8642
vM6zzamXtulKHXFJYpws,1/27/25,18:34:03,MBB18, ,Countermovement Jump,,,870.426,0.3825,243.0807,-0.2247,12926.8293,-10949.4015,2460,282.6202,1797.9024,206.5543,2460,282.6202,2072.505,238.1024,2554,293.4195,0.279,46.1921,0.123,20.3642,0.202,33.4437,0.557,0.604,113.2746,244.0314,640.1945,357.3061,2.1543,-0.8191,-1.278,1.7321,2.7396,2.8434,-1302.0093,-14.6741,-1783.2098,-20.0974,3161.8686,35.6353,58.6651,5205.2671,6.5041,1310,1150,5.9057,952.0407,845.8618,6.8128,1364,1190,4.0015,1077.7178,994.7871,14.0881,7373.9837,5552.8455,11.0982,7.7118,N/A,0.3713,1.6648,0.223,-10421.8028,5171,1063.9046,594.0769,-4.8153,2461,2710,1.112,537.8678,526.0369,N/A,0.9222,0.6333,220.337,2.4833,1.2766,419.8575,4.7319,2.7503
brIqydadQrAi5UVDtzKw,1/27/25,18:33:57,MBB18, ,Countermovement Jump,,,870.944,0.3931,246.5697,-0.267,6568.1818,-7584.3716,2025,232.5063,1507.4318,173.0802,2021,232.0471,1917.7288,220.1897,2232,256.2737,0.234,36.2229,0.176,27.2446,0.236,36.5325,0.559,0.646,111.4359,248.0317,718.2965,359.4676,2.2258,-0.8072,-1.2623,1.6268,2.7773,2.873,-1104.8699,-12.4449,-1479.4879,-16.6644,2872.7456,32.3576,57.5474,5109.1309,9.2528,1104,917,2.7116,774.1534,733.2784,3.5842,1156,1076,4.5936,1002.911,914.8178,33.564,4386.3636,2181.8182,5.1516,8.8023,N/A,0.3673,1.8833,0.195,-12907.5821,5466,1070.6221,627.5949,-1.8295,2683,2783,10.4253,591.1187,479.5034,N/A,0.8653,0.6086,264.722,2.9817,1.2552,453.5745,5.1089,2.7937
15iFYtLMNiBwTXPCOG8Y,1/24/25,17:30:15,MBB18, ,Countermovement Jump,,,860.54,0.3723,237.0937,-0.2502,11488.7218,-9540.9399,2387,277.384,1719.8797,199.8605,2387,277.384,1988.7857,231.109,2488,289.1208,0.27,44.0457,0.133,21.6966,0.21,34.2577,0.554,0.613,113.5227,238.1116,646.7995,351.6343,2.0975,-0.8356,-1.2962,1.7206,2.7028,2.8052,-1273.1353,-14.5135,-1753.4934,-19.9895,3011.9387,34.3356,55.2833,4849.4906,12.7775,1346,1041,11.0149,954.6617,765.218,9.5659,1363,1125,3.7221,1031.4048,957.381,12.4346,6458.6466,5030.0752,19.8357,7.2312,N/A,0.3746,1.6078,0.233,-7769.9114,3846,1024.8853,446.9287,-9.4644,1741,2105,7.5606,551.1865,473.6988,N/A,0.9038,0.6074,227.9745,2.5989,1.2941,418.825,4.7745,2.7144
bWksG5SWXd6y1JhZjsw9,1/24/25,17:30:04,MBB18, ,Countermovement Jump,,,860.769,0.3851,241.1939,-0.3345,4051.0204,-4941.5896,1653,192.0376,1460.1429,169.6324,1679,195.0581,1664.2857,193.3487,2045,237.5783,0.39,43.9684,0.196,22.097,0.301,33.9346,0.562,0.887,117.0738,242.662,787.538,359.7358,2.0727,-0.7961,-1.3416,1.4658,2.7488,2.8481,-1088.1942,-12.4019,-1622.8941,-18.4958,2366.876,26.9748,54.953,4821.795,5.4199,885,794,2.3216,747.0204,713.1224,0.3423,1026,1019,4.5254,869.8007,794.485,19.1436,2413.2653,1637.7551,4.4929,8.6572,N/A,0.3837,1.8449,0.208,-8607.2536,3833,984.8125,445.2995,-12.8098,1671,2162,9.4997,539.1833,445.6292,N/A,0.6336,0.4342,285.7845,3.257,1.3343,501.7535,5.7184,2.7656
UCJqVzxfsobs8IRppAlU,1/20/25,17:56:15,MBB18, ,Countermovement Jump,,,882.065,0.3636,240.1645,-0.3161,6215.0538,-6446.8945,2038,231.0487,1478.414,167.6083,2041,231.3888,1795.5247,203.5592,2038,231.0487,0.27,37.5522,0.186,25.8693,0.263,36.5786,0.557,0.719,110.3394,241.2439,747.6305,351.5833,2.1864,-0.8521,-1.2296,1.5775,2.671,2.7704,-1117.0267,-12.4232,-1479.4591,-16.454,2615.457,29.0881,51.4114,4622.6491,14.1597,1165,876,-0.0331,738.9624,739.4516,13.739,1159,879,4.7886,940.7529,854.7719,53.6332,4774.1935,1440.8602,-0.2915,9.1719,N/A,0.3917,1.4616,0.268,-5561.1818,5637,1152.7961,639.0685,1.7208,2867,2770,17.3904,676.6358,476.1603,N/A,0.7747,0.5057,274.4035,3.0518,1.2272,473.227,5.2631,2.683
F5gAyu37IiPNw0mOT4dY,1/20/25,17:56:08,MBB18, ,Countermovement Jump,,,882.043,0.372,242.9092,-0.2663,5525.4237,-6991.0908,1862,211.1008,1471.2938,166.8052,1861,210.9874,1893.6473,214.6888,2215,251.1215,0.289,40.8769,0.177,25.0354,0.241,34.0877,0.552,0.707,103.8039,244.7081,717.206,348.512,2.3574,-0.7336,-1.165,1.5499,2.7016,2.7937,-991.8086,-11.0308,-1375.7526,-15.301,2733.4892,30.4016,55.3779,4979.1725,13.2724,1054,807,10.3744,811.9661,659.3277,3.8375,1150,1065,4.8787,993.0166,900.6307,32.7198,3666.6667,1858.7571,18.7296,9.337,N/A,0.3707,1.4256,0.26,-6725.5015,4400,1090.6511,498.8419,6.1818,2336,2064,7.0447,583.742,506.9091,N/A,0.7808,0.5262,259.9255,2.8909,1.1545,457.2805,5.0858,2.7216
