TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
ANTJA6ya0N20q0RXYF2b,3/4/25,17:14:26,MLAX12,NA,Countermovement Jump,,,864.009,0.3816,240.9853,-0.3602,8378.2051,-6035.1835,2174,251.6177,1689.8526,195.5828,2174,251.6177,1705.9196,197.4423,2173,251.502,0.314,41.5344,0.156,20.6349,0.286,37.8307,0.567,0.756,128.1726,241.8519,751.9165,370.0245,1.8869,-0.9319,-1.4557,1.6946,2.7362,2.8866,-1403.3773,-15.934,-1911.1718,-21.6995,2620.9082,29.7579,54.1936,4773.0659,3.1279,1121,1053,2.2499,863.9359,825.9167,3.0833,1120,1053,7.0407,913.014,792.9056,6.8095,4474.359,3903.8462,4.3795,13.1357,690,0.4043,2.1975,0.184,-10851.2587,4327,1220.8652,500.805,42.8703,3091,1236,17.9957,720.2841,500.5812,30.5256,0.75,0.5047,262.958,2.9856,1.4553,488.9585,5.5517,2.746
iLwOGAadSKNRF6CQ0thc,3/4/25,17:14:20,MLAX12,NA,Countermovement Jump,,,863.447,0.4002,246.6464,-0.3576,8607.8431,-6098.4951,2181,252.5922,1681.5752,194.7514,2190,253.6346,1769.8462,204.9745,2181,252.5922,0.325,43.2756,0.153,20.3728,0.273,36.3515,0.578,0.751,124.5111,248.5195,740.859,373.0306,1.996,-0.9297,-1.4264,1.6711,2.8023,2.8984,-1387.9827,-15.7695,-1881.8904,-21.381,2713.1822,30.8257,55.1549,4854.5723,-4.2922,1048,1142,-2.5237,819.5686,862.0065,-3.7139,1050,1131,-1.5775,870.9634,898.8828,-4.4799,4111.1111,4496.732,-4.9137,-3.1171,N/A,0.4168,2.0038,0.208,-8913.7783,3891,1038.7704,450.6356,8.6096,2113,1778,-21.5217,407.6046,631.1657,N/A,0.7696,0.5329,256.6185,2.9156,1.4146,484.2405,5.5017,2.8235
RUlLVwiN5az7FnzBrJyC,2/18/25,16:22:53,MLAX12,NA,Countermovement Jump,,,874.105,0.4113,253.1267,-0.4193,8167.6301,-5446.9537,2284,261.2958,1695.0578,193.9192,2284,261.2958,1716.2359,196.3421,2285,261.4102,0.312,39.6947,0.173,22.0102,0.301,38.2952,0.586,0.786,141.3123,254.6054,810.2435,395.9177,1.8017,-1.0371,-1.5931,1.7833,2.8408,2.9717,-1560.1546,-17.5095,-2047.3228,-22.9769,2757.3117,30.9451,53.6041,4776.3099,-0.1751,1140,1144,0.1483,848.7861,846.2717,-0.4814,1137,1148,0.4156,861.6844,854.5515,-0.4954,4063.5838,4104.0462,0.2993,0.8191,N/A,0.4281,2.0781,0.206,-10269.3782,2933,1195.9355,335.5432,21.1729,1777,1156,27.5921,762.9595,432.976,N/A,0.7455,0.5233,292.5325,3.2831,1.5859,517.711,5.8102,2.8574
KPnJ9q4lsiWHOvhXhzOX,2/18/25,16:22:48,MLAX12,NA,Countermovement Jump,,,879.645,0.4049,252.7371,-0.397,8524.6914,-5689.73,2259,256.8081,1704.4506,193.7657,2259,256.8081,1769.9049,201.2067,2258,256.6945,0.307,40.7703,0.162,21.5139,0.284,37.7158,0.589,0.753,132.922,253.9483,779.192,386.8703,1.9105,-0.9639,-1.4864,1.7545,2.8186,2.9399,-1459.3331,-16.2748,-1952.5869,-21.7757,2801.7805,31.2461,53.4994,4797.1936,-5.1793,1071,1188,-5.574,804.7222,899.7284,-5.3144,1069,1189,-1.1533,874.7465,895.1585,-4.1274,4086.4198,4438.2716,-10.5662,-2.3007,N/A,0.4438,2.1862,0.203,-7363.2918,3203,1107.8298,364.1242,-12.3946,1403,1800,-9.6434,500.4986,607.3312,N/A,0.7822,0.5377,275.4245,3.0716,1.4824,503.7675,5.6181,2.8321
wdptrk9LGudxVO151ej1,2/11/25,16:23:59,MLAX12,NA,Countermovement Jump,,,872.528,0.4118,252.8027,-0.3777,9690.3226,-6290.6825,2376,272.3122,1790.7871,205.2412,2377,272.4268,1733.8061,198.7107,2376,272.3122,0.288,39.0773,0.155,21.0312,0.294,39.8915,0.6,0.737,141.5727,254.3888,787.7265,395.9614,1.7969,-1.0399,-1.6001,1.8214,2.8423,2.9745,-1641.8938,-18.4601,-2234.0155,-25.1175,2815.3656,31.6537,52.3547,4656.5646,0.9676,1200,1177,0.5534,900.3484,890.4387,0.8418,1198,1178,0.8854,874.5782,859.2279,4.7936,5077.4194,4612.9032,1.0776,1.7493,N/A,0.4679,3.4408,0.136,-22707.6766,6985,1266.9911,800.5474,-1.9613,3424,3561,-15.0895,537.904,729.0871,N/A,0.8141,0.5587,276.8145,3.1123,1.5917,510.912,5.7443,2.8601
UQuLibZRYdd5Xlg60o9c,2/11/25,16:23:54,MLAX12,NA,Countermovement Jump,,,871.828,0.4237,256.2398,-0.3703,6244.7917,-5595.2123,2072,237.6616,1438.5625,165.0053,2072,237.6616,1778.5018,203.9969,2073,237.7763,0.31,39.4904,0.192,24.4586,0.283,36.051,0.597,0.785,108.2105,257.6072,779.936,365.8177,2.3806,-0.8519,-1.2235,1.7074,2.8833,2.9945,-1089.1482,-12.2553,-1328.0691,-14.9437,2798.1992,31.486,57.9063,5146.214,-0.4826,1031,1041,-0.3635,716.6667,721.8958,-0.4342,1032,1041,-0.2662,886.8834,891.6184,-1.4178,3078.125,3166.6667,-0.7198,-0.5262,N/A,0.4465,2.7394,0.163,-14126.5175,4923,1252.6535,564.6756,22.2832,3010,1913,6.739,668.5347,584.1188,N/A,0.7605,0.5398,275.6015,3.1011,1.2176,504.3345,5.6749,2.8987
zhD57LUcGmz4MCq3RMul,3/4/25,17:12:48,MLAX9,NA,Countermovement Jump,,,1037.788,0.3696,284.8731,-0.29,8294.4785,-8242.7617,2390,230.2975,1788.7607,172.3628,2390,230.2975,2186.7742,210.7149,2485,239.4516,0.358,46.554,0.163,21.1964,0.248,32.2497,0.559,0.769,121.7281,286.1271,834.386,407.8551,2.3505,-0.7504,-1.1529,1.6049,2.6928,2.7957,-1210.0665,-11.4385,-1609.4419,-15.2137,3217.7931,30.4171,53.9863,5711.1501,-0.0837,1194,1196,-3.9174,859.3436,929.4172,2.4547,1273,1212,3.3154,1129.6371,1057.1371,2.6627,4257.6687,4036.8098,-7.5676,6.3923,N/A,0.3949,1.9263,0.205,-10221.0656,5203,1266.103,501.3548,-5.0932,2469,2734,13.8703,720.8578,545.2452,N/A,0.7269,0.4806,290.8875,2.7497,1.1507,543.4985,5.1376,2.7047
78wOdIZvYtkNxXIE2fNt,3/4/25,17:12:43,MLAX9,NA,Countermovement Jump,,,1038.429,0.3819,289.753,-0.2815,10178.8079,-9130.1745,2570,247.4892,1923.596,185.241,2570,247.4892,2289.4181,220.4694,2601,250.4745,0.312,44.8921,0.151,21.7266,0.232,33.3813,0.569,0.695,132.8847,291.497,822.1,424.3817,2.1936,-0.825,-1.2623,1.6404,2.7373,2.8318,-1415.2023,-13.3694,-1894.6811,-17.899,3418.8591,32.2978,56.2505,5954.3492,1.0895,1299,1271,3.45,994.9801,928.6159,1.9608,1326,1275,3.2599,1182.0259,1107.3922,1.2362,5152.3179,5026.4901,6.6804,6.2909,N/A,0.4102,1.873,0.219,-8578.983,4772,1339.7014,459.5403,-3.0176,2314,2458,7.2354,718.3168,621.3846,N/A,0.8187,0.5495,289.6875,2.7367,1.2554,532.4125,5.0297,2.7538
Rs9TTUQYzw8vMtCjJ1hi,2/18/25,16:22:25,MLAX9,NA,Countermovement Jump,,,1063.071,0.3404,280.0701,-0.2823,8472.7273,-8720.1479,2462,231.5932,1777.1818,167.1743,2458,231.2169,2210.2204,207.909,2549,239.777,0.355,46.4052,0.165,21.5686,0.245,32.0261,0.543,0.765,117.1253,282.2606,835.245,399.3859,2.4099,-0.7396,-1.0916,1.5853,2.5845,2.7128,-1177.5632,-10.8665,-1521.8561,-14.0437,3168.0041,29.2343,52.0207,5637.274,2.0342,1254,1204,-2.6508,865.0364,912.1455,3.8054,1323,1226,5.4164,1164.9673,1045.2531,12.4464,4763.6364,3709.0909,-5.2332,10.2505,N/A,0.3811,1.74,0.219,-9210.0184,5201,1425.6578,489.243,11.8631,2909,2292,6.8636,761.7545,663.9033,N/A,0.7098,0.445,292.532,2.6995,1.0808,542.713,5.0081,2.6047
oGu7p1LIoCxdocgt6vsg,2/18/25,16:22:20,MLAX9,NA,Countermovement Jump,,,1063.983,0.3442,281.8356,-0.2659,7841.1765,-8995.7401,2392,224.8156,1784.6,167.7282,2392,224.8156,2259.0424,212.3194,2641,248.2183,0.316,43.7673,0.17,23.5457,0.236,32.687,0.543,0.722,121.8334,283.212,837.0225,405.0454,2.3246,-0.7389,-1.1265,1.5574,2.5985,2.7043,-1190.9345,-10.9805,-1577.5405,-14.545,3214.5219,29.6381,53.0079,5749.1823,-2.0903,1171,1221,-0.8175,885.0059,899.5941,1.3253,1338,1303,0.5792,1136.0636,1122.9788,4.5761,4100,3741.1765,-1.645,1.1274,N/A,0.3776,1.8512,0.204,-10123.2675,5669,1411.9352,532.8093,5.4507,2989,2680,9.727,774.6372,637.298,N/A,0.7521,0.4767,302.7105,2.791,1.1233,534.312,4.9264,2.6112
