TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
HYo1TLwWKKQS8wWQfgZ3,2/20/25,16:24:57,WBB1,F,Countermovement Jump,,,643.127,0.1911,126.9534,-0.1348,15776.4706,-14778.8842,1992,309.7366,1266.5765,196.9403,1981,308.0263,1454.879,226.2195,2117,329.1729,0.295,54.9348,0.085,15.8287,0.157,29.2365,0.411,0.537,52.3182,128.4181,336.373,180.7363,2.4546,-0.563,-0.8111,1.3974,1.9365,2.0817,-615.7814,-9.3929,-794.8582,-12.1244,1685.4896,25.7098,41.4471,2717.2028,6.8147,1058,923,8.526,687.2824,579.2941,5.5267,1117,1000,5.1047,764.5732,690.3057,10.6637,8729.4118,7047.0588,15.6878,9.7202,870,0.2214,1.3749,0.161,-10066.7232,3320,799.3218,516.2277,5.3012,1748,1572,5.4494,421.4402,377.8816,10.3386,0.7654,0.3559,106.984,1.6319,0.798,229.389,3.499,1.9588
uzgXm1y9xHzBfgbzP7NN,2/20/25,16:24:51,WBB1,F,Countermovement Jump,,,642.983,0.1954,128.3236,-0.1381,14074.4681,-14219.7061,1964,305.4513,1207.9362,187.8644,1964,305.4513,1456.2595,226.4849,2112,328.469,0.264,51.1628,0.094,18.2171,0.158,30.6202,0.408,0.516,52.4406,129.4662,343.9385,181.9068,2.4688,-0.5628,-0.8081,1.4136,1.9578,2.1036,-589.5355,-8.9946,-749.7716,-11.4393,1707.8396,26.0565,42.2705,2770.5602,5.1935,1033,931,5.4181,636.6915,571.2447,4.1667,1100,1012,2.5377,746.6076,709.6519,13.0763,7957.4468,6117.0213,10.1995,4.9736,790,0.2111,1.3619,0.155,-12575.6941,3129,809.357,486.6381,6.4238,1665,1464,1.8446,412.143,397.2139,3.6189,0.7907,0.3786,112.881,1.7222,0.8001,231.0575,3.5252,1.9753
xeA7gqV3o0WfxN42mYBL,2/13/25,11:29:49,WBB1,F,Countermovement Jump,,,648.825,0.1406,109.8507,-0.1067,14190.4762,-17382.9117,1854,285.7473,1171.2857,180.5241,1838,283.2813,1376.8289,212.2034,2128,327.9775,0.222,48.4716,0.084,18.3406,0.152,33.1878,0.344,0.458,43.2872,111.5601,307.97,154.8473,2.5772,-0.4688,-0.671,1.2736,1.6609,1.8565,-481.4239,-7.279,-603.4919,-9.1246,1429.9537,21.6204,37.98,2511.9675,19.9129,1102,736,16.8638,684.4048,486.881,13.6278,1209,919,12.9225,777.375,599.4539,28.8591,9142.8571,5047.619,28.7522,22.9283,640,0.1482,0.8099,0.183,-10351.9712,2488,831.5984,383.4624,1.6077,1264,1224,5.8214,440.0047,391.5938,11.0165,0.7511,0.307,97.7885,1.4785,0.6545,210.1815,3.1779,1.6867
w9d44PlVVi1VpG5l7nTo,2/13/25,11:29:44,WBB1,F,Countermovement Jump,,,647.673,0.1679,119.832,-0.1376,12172.043,-13011.3232,1791,276.5284,1249.9785,192.9953,1784,275.4476,1376.0182,212.4557,1971,304.3202,0.28,52.0446,0.093,17.2862,0.165,30.6691,0.366,0.538,55.4419,121.053,343.5945,176.4949,2.1834,-0.5615,-0.8489,1.3266,1.815,1.9876,-619.4488,-9.3825,-802.19,-12.1504,1521.7346,23.049,39.1524,2584.9071,14.0135,1017,767,13.4592,709.1075,540.871,10.2993,1087,884,10.6619,761.3636,614.6545,20.6714,7344.086,4827.957,23.6667,19.2854,450,0.1591,1.0329,0.154,-17367.0856,2612,900.8511,403.2899,11.7152,1459,1153,17.0074,527.0311,373.82,29.1049,0.6803,0.3121,115.6755,1.7521,0.8398,227.919,3.4522,1.8335
uf1C5ePP1K1ZgNNUBfV0,2/10/25,17:53:33,WBB1,F,Countermovement Jump,,,644.239,0.2158,135.1292,-0.1483,13776.5957,-13179.1262,1954,303.3036,1240.4574,192.5462,1941,301.2857,1461.3193,226.8288,2102,326.2764,0.261,50.096,0.094,18.0422,0.166,31.8618,0.428,0.521,55.392,136.5908,359.485,191.9829,2.4659,-0.5954,-0.8563,1.4772,2.0576,2.2133,-639.7251,-9.7413,-820.7517,-12.4978,1793.0406,27.3031,45.4165,2982.578,5.8217,1027,914,13.6283,704.7553,535.7021,2.569,1078,1024,1.8497,744.1747,717.1446,1.7761,7010.6383,6765.9574,24.0895,3.659,670,0.2315,1.503,0.154,-13951.0901,3363,857.403,522.0112,5.7389,1778,1585,11.4407,477.7478,379.6552,20.5432,0.8215,0.4142,115.9505,1.7656,0.8435,243.5345,3.7084,2.0799
4a61BkuL3yH5iENL2Bwa,2/10/25,17:53:27,WBB1,F,Countermovement Jump,,,645.254,0.2006,130.4834,-0.1215,20037.9747,-18297.74,2224,344.6705,1333.4177,206.6501,2224,344.6705,1534.7483,237.8518,2336,362.028,0.237,51.1879,0.079,17.0626,0.147,31.7495,0.412,0.463,53.5684,131.8547,331.2505,185.4231,2.4614,-0.5801,-0.8259,1.4602,1.9838,2.1318,-658.2597,-10.0077,-848.7479,-12.9038,1826.883,27.7747,45.6787,3004.5211,-0.2698,1109,1115,8.4906,723.3165,610.1013,-0.5137,1162,1174,-1.2703,757.6259,777.1224,-2.59,9759.4937,10278.481,15.7921,-2.4951,N/A,0.2131,1.6516,0.129,-22948.2304,3959,783.4247,613.5568,4.7234,2073,1886,5.7262,414.1426,369.2821,N/A,0.8898,0.4332,104.5435,1.5894,0.8144,226.707,3.4467,2.0046
27Rw0x4W07sg9D2EaHNc,2/6/25,16:22:03,WBB1,F,Countermovement Jump,,,624.182,0.2509,141.1622,-0.1569,16302.3256,-12953.3738,2032,325.5461,1305.9535,209.2264,2022,323.944,1484.3091,237.8007,2129,341.0864,0.27,51.8234,0.086,16.5067,0.165,31.6699,0.465,0.521,57.9263,142.9175,357.5135,200.8438,2.4672,-0.6395,-0.9287,1.5562,2.2186,2.3523,-718.1735,-11.2872,-945.5596,-14.861,1924.457,30.2459,48.789,3104.3054,6.8249,1080,942,13.0369,738.1047,567.8488,3.9925,1107,1022,2.5899,761.3758,722.9333,4.9929,8558.1395,7744.186,23.1452,5.0921,710,0.2776,1.7353,0.16,-10785.5549,3700,835.0592,592.7758,0.7027,1863,1837,14.6,478.4887,356.5704,25.4682,0.8925,0.4815,111.606,1.7541,0.9104,245.9075,3.8648,2.2462
XszZuO5Lxj3jMrzoNuPK,2/6/25,16:21:58,WBB1,F,Countermovement Jump,,,623.917,0.2039,127.2066,-0.1145,19644.7368,-18674.1502,2138,342.6738,1273.2763,204.0778,2120,339.7888,1538.9143,246.6537,2364,378.8966,0.177,45.0382,0.076,19.3384,0.14,35.6234,0.41,0.393,48.6003,129.1446,312.511,177.7449,2.6573,-0.5555,-0.7852,1.4627,2.0001,2.1449,-604.5875,-9.5061,-773.0033,-12.1541,1825.5464,28.7035,48.3466,3074.8483,7.1698,1136,984,15.5453,735.6053,537.6711,-0.846,1172,1192,-0.9274,762.3214,776.5929,4.7555,10289.4737,9355.2632,27.032,-1.7482,520,0.2072,1.3029,0.159,-13005.4205,3423,869.5308,548.6307,-0.9641,1695,1728,-5.0514,412.8038,456.7269,-9.6643,1.0433,0.5188,96.018,1.5097,0.7642,216.493,3.404,2.0306
RjU3wtxtJfwRaRulub0w,2/20/25,16:22:20,WBB2,G,Countermovement Jump,,,642.703,0.3055,160.4083,-0.2145,7900.8264,-7476.3304,1604,249.571,1217.7851,189.4787,1601,249.1042,1442.9751,224.5166,1731,269.3312,0.29,47.3856,0.121,19.7712,0.201,32.8431,0.501,0.612,69.1024,161.6357,437.6885,230.7381,2.3391,-0.6883,-1.0642,1.5121,2.4484,2.542,-748.9598,-11.4319,-1023.0642,-15.6157,1952.6072,29.8039,50.2037,3289.1028,-2.6858,779,822,5.2717,640.9917,576.7934,-1.3287,854,877,-0.2965,719.3483,723.6269,-15.272,3347.1074,4553.719,10.137,-0.6095,N/A,0.3074,1.0862,0.283,-4803.5532,2690,785.5763,418.5448,-37.6208,839,1851,-9.6187,355.0071,430.5693,N/A,0.8186,0.4993,146.8695,2.2418,1.0548,290.819,4.439,2.4672
gn6hZcD45RhuHHcCuCuX,2/20/25,16:22:13,WBB2,G,Countermovement Jump,,,642.483,0.3091,161.2733,-0.169,6961.8321,-9253.3121,1564,243.4306,1101.9542,171.5149,1557,242.341,1532.7692,238.5696,1925,299.6188,0.215,40.7197,0.131,24.8106,0.182,34.4697,0.507,0.528,59.7292,162.7896,423.616,222.5188,2.7255,-0.6143,-0.9259,1.5182,2.4625,2.5538,-608.9332,-9.2977,-780.8183,-11.9222,2070.6132,31.616,53.9553,3533.6788,-4.4316,744,813,4.1772,573.9924,527.9618,1.2987,975,950,0.4904,770.1429,762.6264,-17.5439,2870.229,4091.6031,8.1483,0.9553,920,0.3186,1.2301,0.259,-5850.6657,4011,823.075,624.2967,-9.8978,1807,2204,-7.4288,380.9652,442.1098,-13.8314,0.9602,0.5853,143.8945,2.1971,0.912,279.7215,4.271,2.4856
