TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
USE3D7ckXPX7Wtqt8ayx,2/25/25,15:56:45,WLAX41, ,Countermovement Jump,,,651.689,0.2473,146.3227,-0.2257,5066.6667,-6265.501,1414,216.9747,1088.9933,167.1032,1414,216.9747,1296.6476,198.9672,1519,233.0866,0.284,42.9652,0.15,22.6929,0.227,34.3419,0.47,0.661,65.2126,147.0951,457.9945,212.3077,2.2556,-0.6366,-0.9838,1.3613,2.2026,2.3071,-629.1935,-9.4714,-847.2573,-12.7539,1600.1207,24.0869,41.2197,2738.2683,-17.256,585,829,-20.2934,434,654.9933,-5.3325,719,800,-5.5912,612.0749,684.5727,-17.3684,2093.3333,2973.3333,-33.7489,-10.651,N/A,0.2939,1.5389,0.191,-6509.9944,3359,851.2289,515.4299,1.042,1697,1662,5.9073,450.7568,400.472,N/A,0.711,0.3741,162.966,2.4532,0.9817,295.0285,4.4411,2.2143
ad1QE9EcRtnEuSLYpcuS,2/25/25,15:56:39,WLAX41, ,Countermovement Jump,,,649.753,0.2568,148.6756,-0.2162,5877.6978,-6805.4196,1471,226.3937,1088.259,167.4881,1469,226.0859,1309.9469,201.6069,1516,233.3194,0.316,46.4023,0.139,20.4112,0.226,33.1865,0.466,0.681,60.5413,149.9248,447.626,210.4662,2.4764,-0.6159,-0.9234,1.3875,2.2447,2.3517,-603.3312,-9.1091,-787.5443,-11.8904,1643.0622,24.807,42.6901,2827.5275,-18.4479,599,870,-17.5397,448.6906,639.5683,-12.7968,661,855,-12.4838,573.208,736.7389,-19.2166,2374.1007,3503.5971,-29.8381,-22.204,N/A,0.273,1.4757,0.185,-9657.5521,3458,806.3666,532.2022,-25.5061,1288,2170,3.2946,416.4664,389.9002,N/A,0.6843,0.3771,150.857,2.2776,0.9141,296.769,4.4806,2.2636
CfdVvLhfZZnB1msXRNDg,2/20/25,15:58:53,WLAX41, ,Countermovement Jump,,,637.453,0.2688,149.2249,-0.2254,5622.5166,-6606.4924,1489,233.5858,1069.0993,167.7142,1484,232.8015,1343.3868,210.7429,1601,251.1558,0.299,45.1662,0.151,22.8097,0.212,32.0242,0.495,0.662,64.7516,150.382,446.529,215.1336,2.3224,-0.664,-1.005,1.4341,2.2965,2.4016,-640.6012,-9.8584,-823.1727,-12.6681,1725.7379,26.558,44.8413,2913.7819,-11.3208,658,826,-20.0776,427.2252,641.8742,-3.935,769,832,-3.2065,650.1557,693.2311,5.5359,2966.8874,2655.6291,-33.5337,-6.2747,960,0.331,1.9246,0.172,-6724.7066,3553,807.3667,557.3744,-2.1109,1739,1814,-7.7841,372.2604,435.1062,14.4423,0.7477,0.406,161.007,2.4778,0.9965,285.522,4.394,2.3143
uSQI7LJJqdBjVij6DNH5,2/20/25,15:58:47,WLAX41, ,Countermovement Jump,,,636.047,0.2751,150.6401,-0.2175,5194.8052,-6610.1407,1438,226.0839,1031.3377,162.148,1434,225.455,1342.5467,211.0767,1591,250.1387,0.273,42.5897,0.154,24.025,0.214,33.3853,0.49,0.641,60.4713,151.8949,446.4315,212.3662,2.5119,-0.6355,-0.9426,1.4281,2.3234,2.4258,-591.224,-9.1187,-752.242,-11.6021,1729.4939,26.6747,46.0233,2983.9909,-15.3417,607,827,-16.9028,428.5065,602.8312,-6.3482,745,846,-5.632,633.4673,709.0794,-11.75,2292.2078,2902.5974,-28.9377,-10.7147,800,0.3128,1.6552,0.189,-6824.1566,3478,834.97,546.8149,1.0351,1757,1721,-8.0057,384.0625,450.9075,14.8377,0.7644,0.4292,158.4225,2.4434,0.9327,288.009,4.4421,2.3427
hTVyC5iUmDqBGkVonph4,2/13/25,15:55:37,WLAX41, ,Countermovement Jump,,,632.491,0.2653,147.1043,-0.2328,6295.7746,-6585.6505,1533,242.375,1091.507,172.5727,1528,241.5845,1295.3587,204.8027,1569,248.0668,0.265,42.0635,0.142,22.5397,0.223,35.3968,0.487,0.63,64.7293,148.571,444.1595,213.3003,2.2953,-0.6891,-1.0172,1.4473,2.2816,2.3933,-670.7392,-10.4032,-860.8947,-13.3526,1671.1582,25.9198,43.1625,2782.8662,-11.7801,674,854,-21.0653,430.7887,660.7183,-7.202,728,841,-5.0996,614.6502,680.7085,1.3423,3190.1408,3105.6338,-34.8882,-9.7376,840,0.3144,1.8386,0.171,-8271.8217,4555,824.2905,720.1684,-2.0417,2231,2324,-2.5355,401.6952,422.5952,4.9476,0.773,0.4212,154.543,2.397,1.004,289.6165,4.492,2.3044
W7QyL9NlSGdZJl37ZQoH,2/13/25,15:55:32,WLAX41, ,Countermovement Jump,,,635.351,0.2606,146.4407,-0.2243,5121.0191,-6451.4773,1447,227.7481,1054.4713,165.9667,1440,226.6464,1306.6712,205.6613,1568,246.7927,0.263,41.1581,0.157,24.5696,0.219,34.2723,0.478,0.639,65.3959,147.7176,452.0055,213.1135,2.2588,-0.6662,-1.0202,1.423,2.2611,2.3727,-637.9163,-9.8496,-837.6473,-12.9335,1663.2532,25.6811,43.5188,2818.5225,-16.6667,600,840,-20.9988,416.5223,637.949,-6.25,735,833,-7.3298,605.4475,701.2237,-13.6816,2210.1911,2910.828,-34.7334,-13.6871,950,0.2979,1.8053,0.165,-8815.2631,3927,797.3821,618.0835,-0.2801,1958,1969,1.4251,404.3726,393.0095,2.8117,0.748,0.4078,165.146,2.5499,1.0097,286.8595,4.4292,2.2808
3FNP3hMfLcHY1D6CXi3z,2/25/25,14:58:45,WLAX36,NA,Countermovement Jump,,,559.945,0.2487,126.0792,-0.2762,5046.9799,-4760.6524,1315,234.8445,1052.4362,187.9535,1317,235.2017,1050.469,187.6022,1316,235.0231,0.27,39.8818,0.149,22.0089,0.258,38.1093,0.446,0.677,73.0012,127.1962,428.095,200.1974,1.7424,-0.8185,-1.2892,1.4193,2.2089,2.3488,-776.7105,-13.6076,-1060.9346,-18.5871,1336.7296,23.4189,40.1546,2291.9834,6.9096,704,613,10.8556,583.3423,469.094,5.7751,696,620,-1.0571,519.6822,530.7868,0.266,2530.2013,2516.7785,19.628,-2.0461,880,0.2373,1.4739,0.161,-14271.26,3437,699.225,613.8103,-9.6305,1553,1884,-7.7001,322.692,376.533,14.3128,0.6588,0.3673,156.433,2.7406,1.279,271.662,4.7594,2.2284
Wc82HRFDSD4MX4K0sJkV,2/25/25,14:58:39,WLAX36,NA,Countermovement Jump,,,559.708,0.2587,128.5391,-0.2475,5054.0541,-5300.5455,1312,234.4079,1002.1014,179.04,1310,234.0506,1103.5232,197.1605,1317,235.3013,0.245,38.8889,0.148,23.4921,0.237,37.619,0.465,0.63,65.0972,129.5227,410.1075,194.6199,1.9897,-0.742,-1.1489,1.4009,2.2529,2.3713,-669.7329,-11.7384,-893.4456,-15.6594,1397.5792,24.4954,42.8456,2444.5496,3.0534,675,635,3.0443,516.3041,485.7973,3.1131,679,638,0.096,552.2911,551.2321,6.9519,2702.7027,2351.3514,5.8902,0.2077,N/A,0.2696,1.3616,0.198,-6806.5341,3356,649.0872,599.5984,5.6615,1773,1583,-5.7416,305.9095,343.1777,N/A,0.7381,0.4106,147.934,2.5928,1.141,262.1735,4.5951,2.2701
o8BX4YFDKC19MstGBiWp,2/20/25,11:59:06,WLAX36,NA,Countermovement Jump,,,552.399,0.2599,127.1641,-0.2672,3935.1351,-4775.5084,1276,230.9925,916.3892,165.8926,1276,230.9925,1048.9727,189.894,1279,231.5355,0.253,36.4553,0.185,26.6571,0.256,36.8876,0.476,0.694,66.9697,127.7469,438.3245,194.7165,1.9075,-0.7934,-1.1905,1.4415,2.2583,2.4069,-653.9251,-11.613,-811.9122,-14.4187,1359.5136,24.1435,41.9835,2364.0828,6.1129,677,599,4.1385,477.1568,439.2324,6.0203,678,601,2.1759,535.8984,513.0742,9.3407,2151.3514,1783.7838,7.9259,4.2871,N/A,0.2929,1.2005,0.244,-5047.4272,2512,641.0166,454.7438,-0.4777,1250,1262,6.1741,340.2967,300.7199,N/A,0.6859,0.3745,169.1635,3.0042,1.1893,269.161,4.78,2.2686
wwNpmsh7Yq5eXVEcqJ0b,2/20/25,11:58:59,WLAX36,NA,Countermovement Jump,,,553.499,0.2672,129.1867,-0.2636,4750,-5060.7973,1334,241.0122,1009.872,182.4524,1335,241.1928,1091.7261,197.2409,1337,241.5542,0.21,34.1463,0.164,26.6667,0.241,39.187,0.481,0.615,74.4462,130.3622,428.9755,204.8084,1.7511,-0.8782,-1.3311,1.4263,2.2897,2.4058,-790.9085,-14.0178,-1079.3946,-19.1308,1405.679,24.9137,43.2583,2440.714,2.1723,682,653,0.8761,509.3598,500.5122,2.0194,682,655,1.0832,551.7759,539.9502,12.7086,2676.8293,2073.1707,1.684,2.148,700,0.2969,1.4071,0.211,-5490.0806,2577,745.1857,465.5835,22.9336,1584,993,24.8053,465.0157,280.17,39.7369,0.7821,0.4345,165.22,2.9283,1.3195,263.7555,4.6747,2.3105
jFDIcBNNvcM4xs4yscbW,2/13/25,12:02:26,WLAX36,NA,Countermovement Jump,,,564.814,0.2539,128.5042,-0.2661,4540.3727,-4874.5388,1297,229.6331,1021.323,180.8247,1296,229.4561,1078.6295,190.9707,1310,231.9348,0.267,39.3225,0.161,23.7113,0.251,36.9661,0.468,0.679,73.1299,129.6002,435.4335,202.7301,1.7722,-0.807,-1.2799,1.4212,2.2319,2.3709,-748.6985,-13.0038,-1046.5433,-18.1769,1376.456,23.907,41.5429,2391.844,5.5556,684,612,2.4417,523.1304,498.1925,5.3435,690,620,0.7587,543.4064,535.2231,16.8263,2652.1739,1888.1988,4.7089,1.5478,N/A,0.2806,1.33,0.211,-5676.1146,2154,651.141,381.3645,-16.4345,900,1254,3.9346,338.3806,312.7605,N/A,0.6892,0.3739,164.065,2.8496,1.2702,271.3685,4.7133,2.251
ywWnX9KT7Xv3k9BrhBGJ,2/13/25,12:02:21,WLAX36,NA,Countermovement Jump,,,564.484,0.2674,131.8048,-0.269,5514.0845,-5008.2892,1347,238.625,1114.8239,197.4943,1348,238.8022,1095.8273,194.129,1347,238.625,0.213,35.2649,0.142,23.5099,0.249,41.2252,0.484,0.604,77.7503,132.965,431.4285,210.7153,1.7102,-0.8334,-1.3621,1.4473,2.2906,2.4194,-846.3382,-14.7083,-1238.2011,-21.5183,1425.7209,24.7772,42.5718,2449.6522,4.1543,702,646,0.7347,561.507,553.3169,4.0831,701,646,0.1704,548.8474,546.9799,5.7471,2915.493,2598.5915,1.436,0.3689,N/A,0.3047,1.539,0.198,-5906.0071,2797,711.6994,495.4968,2.4669,1433,1364,4.2687,371.0399,340.6595,N/A,0.8013,0.4428,157.907,2.7442,1.3512,273.5215,4.7534,2.3108
idIqBHWOZTOOSbMYXkYY,2/6/25,12:03:49,WLAX36,NA,Countermovement Jump,,,554.66,0.2493,125.0526,-0.2784,4777.0701,-4670.3157,1300,234.3778,1035.4459,186.6812,1304,235.099,1033.8092,186.3861,1302,234.7384,0.258,38.1093,0.157,23.1905,0.262,38.7001,0.461,0.677,75.1039,126.1751,433.6815,201.279,1.68,-0.8523,-1.3389,1.4147,2.2117,2.3559,-795.5024,-14.0697,-1075.6131,-19.0238,1314.7847,23.254,39.7951,2250.0234,9.6626,715,589,8.5166,561.8153,473.6306,8.7558,708,594,2.735,531.042,502.7672,14.9333,2745.2229,2031.8471,15.67,5.3618,870,0.2679,1.3395,0.2,-5858.0948,2681,702.3391,483.3592,-6.602,1252,1429,-1.2829,346.6644,355.6747,2.5346,0.6809,0.3683,162.1855,2.8685,1.3283,271.496,4.8018,2.2316
uBl8my5Bm6FPCYtHbqb9,2/6/25,12:03:43,WLAX36,NA,Countermovement Jump,,,554.768,0.2591,127.4934,-0.2615,5175.6757,-5054.7058,1322,238.2978,1040.9527,187.6375,1320,237.9373,1079.8566,194.6501,1325,238.8386,0.244,38.3648,0.148,23.2704,0.244,38.3648,0.486,0.636,71.5673,128.7666,417.803,200.3339,1.7992,-0.8059,-1.2788,1.4146,2.2545,2.3776,-759.5065,-13.4304,-1048.4453,-18.5397,1376.2713,24.3367,42.2167,2387.4064,3.1818,681,639,1.1898,526.6689,514.2838,2.7925,681,644,0.679,543.5943,536.2623,3.3943,2675.6757,2500,2.3422,1.3694,N/A,0.3174,1.5715,0.202,-4682.5967,2521,667.5537,454.4242,-22.2531,980,1541,-7.9021,307.4015,360.1523,N/A,0.7642,0.4073,153.673,2.7174,1.2655,264.13,4.6706,2.277
4YNEo6lH0S0RMa5SdMxo,2/20/25,16:00:26,WLAX42, ,Countermovement Jump,,,679.457,0.2146,142.1154,-0.1308,13622.449,-15387.0506,2013,296.266,1252.6531,184.3609,2013,296.266,1551.3865,228.3274,2203,324.2295,0.217,45.3975,0.098,20.5021,0.163,34.1004,0.427,0.478,55.5027,143.1165,375.9575,198.6192,2.5785,-0.5626,-0.8064,1.4529,2.0519,2.2031,-612.0508,-8.8368,-765.3744,-11.0505,1885.7711,27.2268,44.0186,3048.8044,-17.7347,828,1185,-21.9664,488.7449,763.9082,-10.6673,984,1219,-10.1267,697.1411,854.2454,-20.4494,5418.3673,8204.0816,-36.0312,-18.4323,720,0.2308,1.0539,0.219,-8166.1022,2207,884.7889,324.8182,-20.7068,875,1332,-6.6318,413.0556,471.7333,12.4436,0.8933,0.4489,122.0895,1.7627,0.8013,253.868,3.6653,2.0663
kNYuvvdeUgx3yhzYsrot,2/20/25,16:00:20,WLAX42, ,Countermovement Jump,,,679.519,0.211,140.947,-0.151,12875,-13368.6289,2019,297.1219,1235.3077,181.7915,2019,297.1219,1517.7321,223.3539,2185,321.551,0.226,45.3815,0.104,20.8835,0.168,33.7349,0.424,0.498,57.1305,141.8158,383.7755,198.9463,2.4823,-0.5898,-0.8279,1.4507,2.0348,2.1925,-628.997,-9.0806,-796.4968,-11.4988,1843.3471,26.6118,42.5466,2947.1182,-9.163,917,1102,-9.16,561.0769,674.2308,-7.2769,1013,1172,-7.8222,699.506,818.2262,-13.5176,5567.3077,7307.6923,-16.7419,-14.5102,760,0.2281,0.9789,0.233,-6171.7063,2513,872.3,369.8204,-33.7047,833,1680,2.9643,449.0789,423.2211,5.7528,0.8514,0.4238,127.8005,1.845,0.8248,255.975,3.6954,2.0473
5WnUeRFyxNCJIoyDwL5h,2/13/25,15:56:10,WLAX42, ,Countermovement Jump,,,680.935,0.2066,139.7343,-0.141,12430,-13665.623,1927,282.9932,1284.46,188.6318,1927,282.9932,1518.3473,222.9798,2049,300.9098,0.218,44.9485,0.1,20.6186,0.167,34.433,0.421,0.485,59.726,140.7989,382.3345,200.5249,2.3574,-0.5986,-0.8662,1.3735,2.0131,2.1259,-668.0449,-9.6243,-884.0873,-12.7367,1781.5168,25.6657,40.8033,2832.2501,-11.8838,849,1078,-20.2124,512.42,772.04,-5.0268,973,1076,-3.0091,736.3293,782.018,-6.6774,5800,6630,-33.7156,-5.9027,800,0.2264,0.9716,0.233,-7617.3812,2443,864.7975,358.7714,19.607,1461,982,-8.0704,397.5025,467.295,14.9233,0.868,0.4259,127.8195,1.8415,0.8605,254.515,3.6667,2.0284
JYNef0fz6awHg513I5nK,2/13/25,15:56:05,WLAX42, ,Countermovement Jump,,,681.663,0.2086,140.5758,-0.1206,11519.6078,-15374.2948,1854,271.9819,1208.3431,177.264,1854,271.9819,1571.7278,230.5726,2149,315.2584,0.198,43.2314,0.102,22.2707,0.158,34.4978,0.418,0.458,53.1294,141.5407,371.9025,194.6701,2.6641,-0.527,-0.7692,1.3765,2.0231,2.1339,-560.7228,-8.0695,-700.9548,-10.0876,1842.5319,26.5164,43.0901,2994.1795,-18.2309,758,1096,-18.3568,493.2647,715.0784,-7.3057,996,1153,-7.1448,729.7152,842.0127,-28.3404,4127.451,7392.1569,-30.9527,-13.3979,960,0.2182,0.9828,0.222,-9171.2498,1954,832.3927,286.6519,9.6213,1071,883,-14.5468,355.6531,476.7396,25.4009,0.9127,0.4555,122.659,1.7652,0.7646,249.2435,3.5869,2.037
XE62gtrtikpqCxEfsEds,2/6/25,13:54:18,WLAX42, ,Countermovement Jump,,,686.743,0.2203,145.5551,-0.1576,11844.6602,-12094.5244,1906,277.542,1217.6214,177.3038,1906,277.542,1515.5682,220.6893,2043,297.4912,0.23,45.1866,0.103,20.2358,0.176,34.5776,0.428,0.509,54.0685,146.8117,392.4815,200.8802,2.7153,-0.5561,-0.7808,1.4036,2.0792,2.1903,-589.0842,-8.415,-758.1289,-10.8297,1827.6561,26.1077,41.0688,2874.9989,-11.9622,839,1067,-19.2377,491.6893,725.932,-6.4121,956,1087,-7.6127,700.0966,815.4716,-14.7541,5048.5437,6796.1165,-32.2969,-14.158,910,0.2265,0.8919,0.254,-5607.7981,2443,848.0989,355.7372,-10.5199,1093,1350,-19.4882,341.4099,506.689,32.6197,0.8409,0.4329,124.803,1.7828,0.7724,267.6785,3.8237,2.0972
